Date,Region,Product,Category,Campaign,Marketing_Channel,Quarter,Spend,Impressions,Clicks,Conversions,Conversion Rate,Revenue,CTR,CPC,ROI
12/3/2023,North,Power Bank,Electronics,Social Media Boost Campaign,Email,Q1,4341.92,7948,208,49,24%,5957.79,0.0262,20.87,0.3722
12/10/2023,West,Gym Gloves,Health & Fitness,New Product Launch,Social Media,Q1,3211.52,7790,886,41,5%,7313.16,0.1137,3.62,1.2772
12/17/2023,East,Bluetooth Speaker,Electronics,Summer Sale Campaign,Search Engine,Q1,2828.02,5429,502,17,3%,5384.96,0.0925,5.63,0.9041
12/24/2023,North,Yoga Mat,Health & Fitness,Loyalty Program Campaign,Direct Mail,Q3,1730.76,8184,821,33,4%,7941.68,0.1003,2.11,3.5886
12/31/2023,South,Gaming Mouse,Electronics,Summer Sale Campaign,Direct Mail,Q2,4735.94,5473,761,45,6%,2492.35,0.139,6.22,-0.4737
12/10/2023,West,Sports Jacket,Fashion,Search Engine Ads Campaign,Direct Mail,Q3,1451.91,3573,592,28,5%,18330.96,0.1657,2.45,11.6254
12/17/2023,South,Mechanical Keyboard,Electronics,New Product Launch,Email,Q3,1339.96,2205,849,16,2%,8983.12,0.385,1.58,5.704
1/21/2024,South,Mechanical Keyboard,Electronics,Influencer Marketing Campaign,Direct Mail,Q3,2387.81,4006,928,9,1%,2618.35,0.2317,2.57,0.0965
1/28/2024,South,Yoga Pants,Fashion,Retargeting Campaign,Search Engine,Q4,2547.39,2428,514,31,6%,2195.26,0.2117,4.96,-0.1382
2/4/2024,North,Yoga Pants,Fashion,New Product Launch,Email,Q1,3258.37,6139,843,34,4%,16217.39,0.1373,3.87,3.9771
2/11/2024,North,Gaming Mouse,Electronics,Retargeting Campaign,Direct Mail,Q2,3091.34,4665,150,37,25%,18223.16,0.0322,20.61,4.8949
2/18/2024,South,Gym Gloves,Health & Fitness,Retargeting Campaign,Social Media,Q4,1761.01,5688,315,21,7%,15528.62,0.0554,5.59,7.818
2/25/2024,South,Resistance Bands,Health & Fitness,Retargeting Campaign,Social Media,Q4,2712.51,9938,859,2,0%,4735.08,0.0864,3.16,0.7456
3/3/2024,South,Running Shoes,Fashion,New Product Launch,Social Media,Q1,1054.71,7302,670,28,4%,15020.08,0.0918,1.57,13.241
3/10/2024,South,Power Bank,Electronics,Influencer Marketing Campaign,Social Media,Q3,4080.86,3958,336,20,6%,16097.73,0.0849,12.15,2.9447
3/17/2024,South,Yoga Mat,Health & Fitness,Retargeting Campaign,Direct Mail,Q3,560.38,9916,916,50,5%,9119.65,0.0924,0.61,15.274
3/24/2024,North,Resistance Bands,Health & Fitness,Seasonal Discount Campaign,Email,Q2,4938.96,7697,224,4,2%,8729.93,0.0291,22.05,0.7676
3/31/2024,North,Multivitamins,Health & Fitness,Retargeting Campaign,Social Media,Q1,2740.13,1400,384,19,5%,15481.38,0.2743,7.14,4.6499
4/7/2024,North,Sneakers,Fashion,Retargeting Campaign,Email,Q1,2876.66,1162,939,16,2%,8230.09,0.8081,3.06,1.861
4/14/2024,North,Sports Jacket,Fashion,New Product Launch,Search Engine,Q1,4378.21,1137,941,35,4%,5826.28,0.8276,4.65,0.3307
4/21/2024,East,Wireless Earbuds,Electronics,Flash Sale Campaign,Social Media,Q1,4941.79,7902,141,38,27%,13406.82,0.0178,35.05,1.7129
4/28/2024,South,Protein Powder,Health & Fitness,Retargeting Campaign,Email,Q1,1376.02,4872,922,40,4%,6238.04,0.1892,1.49,3.5334
5/5/2024,South,Wireless Earbuds,Electronics,Retargeting Campaign,Direct Mail,Q3,3324.53,7993,377,42,11%,8491.86,0.0472,8.82,1.5543
5/12/2024,South,Yoga Mat,Health & Fitness,Loyalty Program Campaign,Search Engine,Q1,2318.27,3481,688,26,4%,2667.33,0.1976,3.37,0.1506
5/19/2024,South,Yoga Pants,Fashion,Social Media Boost Campaign,Social Media,Q4,2417.89,8982,282,29,10%,10829.6,0.0314,8.57,3.4789
5/26/2024,West,Yoga Pants,Fashion,Retargeting Campaign,Email,Q3,610.83,5841,357,45,13%,1134.52,0.0611,1.71,0.8573
6/2/2024,South,Smart Watch,Electronics,Social Media Boost Campaign,Email,Q2,1203.33,5425,764,36,5%,2873.42,0.1408,1.58,1.3879
6/9/2024,South,Hoodie,Fashion,Retargeting Campaign,Email,Q1,1532.29,8742,635,20,3%,5409.03,0.0726,2.41,2.53
6/16/2024,South,Hoodie,Fashion,Retargeting Campaign,Email,Q1,3114.54,7818,441,39,9%,7945.99,0.0564,7.06,1.5513
6/23/2024,East,Gym Gloves,Health & Fitness,Summer Sale Campaign,Search Engine,Q1,1321.6,1888,203,41,20%,5218.27,0.1075,6.51,2.9484
6/30/2024,East,Smart Watch,Electronics,Retargeting Campaign,Direct Mail,Q4,2383.64,3052,287,36,13%,3515.7,0.094,8.31,0.4749
7/7/2024,South,Gaming Mouse,Electronics,Search Engine Ads Campaign,Email,Q4,4165.55,5640,532,22,4%,8609.61,0.0943,7.83,1.0669
7/14/2024,North,Bluetooth Speaker,Electronics,Summer Sale Campaign,Search Engine,Q4,3637.12,7365,709,12,2%,9941.12,0.0963,5.13,1.7332
7/21/2024,North,Mechanical Keyboard,Electronics,Summer Sale Campaign,Social Media,Q4,4462.95,6323,504,25,5%,15075.84,0.0797,8.86,2.378
7/28/2024,South,Laptop Stand,Electronics,Summer Sale Campaign,Search Engine,Q2,2009.35,1147,543,16,3%,16548.38,0.4734,3.7,7.2357
8/4/2024,West,Yoga Pants,Fashion,Social Media Boost Campaign,Direct Mail,Q1,3950.09,8663,227,43,19%,9338.99,0.0262,17.4,1.3642
8/11/2024,West,Yoga Mat,Health & Fitness,Summer Sale Campaign,Search Engine,Q1,1287.89,1530,781,19,2%,18695.55,0.5105,1.65,13.5164
8/18/2024,North,Yoga Pants,Fashion,Retargeting Campaign,Social Media,Q1,3378.78,5196,723,42,6%,1023.81,0.1391,4.67,-0.697
8/25/2024,North,Casual T-Shirt,Fashion,Seasonal Discount Campaign,Email,Q4,3632.86,8716,259,44,17%,15651.6,0.0297,14.03,3.3083
9/1/2024,West,Yoga Pants,Fashion,Summer Sale Campaign,Direct Mail,Q1,1154.84,4205,538,3,1%,4112.01,0.1279,2.15,2.5607
9/8/2024,South,Gaming Mouse,Electronics,Retargeting Campaign,Social Media,Q4,1862.04,3569,774,11,1%,8787.16,0.2169,2.41,3.7191
9/15/2024,West,Bluetooth Speaker,Electronics,Retargeting Campaign,Email,Q3,1555.73,9432,623,29,5%,18952.14,0.0661,2.5,11.1822
9/22/2024,West,Casual T-Shirt,Fashion,Retargeting Campaign,Social Media,Q2,3973.06,4187,619,5,1%,13059.27,0.1478,6.42,2.287
9/29/2024,North,Fitness Tracker,Electronics,Retargeting Campaign,Direct Mail,Q2,3970.41,1114,869,46,5%,6219.6,0.7801,4.57,0.5665
10/6/2024,North,Bluetooth Speaker,Electronics,New Product Launch,Direct Mail,Q2,2946.93,9307,583,39,7%,5436.82,0.0626,5.05,0.8449
10/13/2024,South,Sports Jacket,Fashion,Retargeting Campaign,Direct Mail,Q4,2916.69,2060,172,17,10%,11932.58,0.0835,16.96,3.0911
10/20/2024,South,Power Bank,Electronics,New Product Launch,Email,Q1,3636.93,6856,352,26,7%,18906.16,0.0513,10.33,4.1984
10/27/2024,South,Wireless Earbuds,Electronics,Summer Sale Campaign,Search Engine,Q3,3540.6,8400,979,28,3%,17279.68,0.1165,3.62,3.8804
11/3/2024,South,Mechanical Keyboard,Electronics,New Product Launch,Social Media,Q1,950.21,9942,530,31,6%,12641.66,0.0533,1.79,12.3041
11/10/2024,North,Bluetooth Speaker,Electronics,Summer Sale Campaign,Social Media,Q4,2056.67,5688,583,49,8%,14541.76,0.1025,3.53,6.0705
11/17/2024,West,Gym Gloves,Health & Fitness,New Product Launch,Email,Q1,2756.2,5013,664,31,5%,6824.82,0.1325,4.15,1.4762
8/18/2024,North,Sports Jacket,Fashion,New Product Launch,Email,Q2,1328.71,1941,177,1,1%,9215.72,0.0912,7.51,5.9358
8/25/2024,North,Bluetooth Speaker,Electronics,Retargeting Campaign,Email,Q1,1250,50000,2500,125,5%,18750,0.05,0.5,14
9/1/2024,North,Smart Watch,Electronics,New Product Launch,Search Engine,Q1,3200,120000,4800,240,5%,36000,0.04,0.67,10.25
9/8/2024,West,Sports Jacket,Fashion,Social Media Boost Campaign,Social Media,Q1,2800,95000,4750,190,4%,28500,0.05,0.59,9.18
9/15/2024,South,Bluetooth Speaker,Electronics,Retargeting Campaign,Direct Mail,Q1,4100,60000,1800,90,5%,22500,0.03,2.28,4.49
